,birth,death,gender,hair,height,name,race,realm,spouse,biography,history
10,,,Female,,,Almarian,Men,Númenor,Tar-Meneldur,"Almarian was the daughter of a Númenórean sailor Vëantur, the Captain of the King's Ships under Tar-Elendil. She was married to Tar-Meneldur and she was mother of Aldarion, the future Tar-Aldarion, who was the sixth King of Númenor.
She cared little for ships and the sea, though her father was a great sailor. She married and gave birth to a son, Aldarion, who soon desired to follow in the footsteps of her father, Vëantur. This later displeased his father, who wanted him to marry and settle down. However, Almarian supported her son in everything he did and later served as a mediator between her husband and their son on matters regarding his life choices.
She was a woman of exceptional beauty.[1]",
11,"Between ,SA 700, and ,SA 750","Early ,Second Age",Female,,,Almiel,Men,,,"Almiel was born between SA 700 and SA 750 in the Númenórean province of Forostar. She had two other siblings: Anardil, who would later become the sixth King of Númenor, ruling as Tar-Aldarion, and an older sister named Ailinel.[1] Little to nothing else is known about her.",
12,TA 3017,FO 95,Male,,,Alphros,Men,,,"The son of Elphir, Alphros was a child during the War of the Ring. When Aragorn II Elessar became King of the Reunited Kingdom, Alphros succeeded his father as Prince of Dol Amroth and served under Aragorn until he would die in FO 95.[1]",
13,"Late ,Second Age",Sailed West either SA 3310 fate unknown,Male,,,Amandil,Men,,Unnamed wife,"Amandil was the son of the previous Lord of Andúnië, Númendil. In his youth, Amandil had a great friendship with Pharazôn, a relative of his father's mother, Inzilbêth.
When Pharazôn married Tar-Míriel and seized the Sceptre of Númenor, he had been corrupted by his father's counsel, and Pharazôn and Amandil became estranged. As a covert leader of the Faithful in Númenor, Amandil supported the old traditions of friendship with the Elves and reverence for the Valar, while Pharazôn followed the contrary way of the King's Men and his own will. He deprived the Lords of Andúnië of their lordship due to their support of the old King Tar-Palantir and commanded Amandil to dwell in Rómenna. He took Andúnië and made it the chief harbour of his ships but did not remove Amandil from his council or otherwise harm him.
In SA 3261, Pharazôn brought Sauron (who was disguised) to Númenor and, over the years, was deceived by Sauron's lies.
Eventually sensing the impending doom of Númenor, Amandil urged his son Elendil not to interfere in the imminent war but to expect and prepare for a forced departure from the island. He himself decided to set sail for Valinor to plead with the Valar for forgiveness and mercy for the Númenórean people, since at least a few had remained faithful.
He departed into the West either in SA 3310[1] or SA 3316,[1] just before the Great Armament was ready to launch, in an attempt to reach Valinor and save Númenor. He set sail in a small ship with three servants dear to him (though no names are given for them) at night from Rómenna, steering east as if his goal was to reach Middle-earth, but soon he turned and journeyed into the west. He never returned and was not heard from again.
Whether Amandil's voyage was successful is untold, but soon after the destruction of Númenor, a great wave carried Elendil's ships safely to Middle-earth, suggesting that Amandil's pleas had indeed been answered.[2]",
14,YT,Still alive,Female,,,Amarië,Elves,,"Loved ,Finrod, but it is unknown whether they married","Finrod and Amárië reunited, by Maureval
Finrod, son of Finarfin, was a Noldorin prince who met Amárië in Valinor. Although in love with one another, they did not marry, and Amárië did not follow Finrod into exile Helcaraxë to Middle-earth.[1] According to The Grey Annals, this was because she was not permitted.[2] It is noted in the Lay of Lúthien that Finrod was allowed to return to life in Valinor following his death at the hands of Sauron during the Quest for the Silmaril, and he was reunited and dwelt with Amárië in Valinor.[3]
",
15,"Sometime during ,Years of the Trees, or the ,First Age",SA 3434,Male,,,Amdír,Elves,Lórien,Unnamed wife,"Amdír was a Sindar Elf from Doriath who migrated east into Eriador after the War of Wrath. He took over the realm of Lórinand (later Lórien) from the Silvan Elves, south of where Oropher established the Woodland Realm among the Silvan Elves of Mirkwood.
Amdír and Oropher joined Gil-galad's forces when he crossed the Misty Mountains in the War of the Last Alliance. He was killed leading a precipitous charge in the Battle of Dagorlad alongside most of those who followed him. His son Amroth succeeded him as King of Lórien.[1]
King of Lórien


Preceded byNone
Amdír
Succeeded byAmroth


Early Second Age - SA 3434",
16,TA 726,TA 946,Male,,,Amlaith,Men,Arthedain,Unnamed wife,"Amlaith of Fornost was the eldest son of Eärendur of Arnor and hence a direct descendant of Isildur, Amlaith should by right have succeeded his father to become the eleventh High King of Arnor and lord of all the Dúnedain of the North. After Eärendur's death, however, Amlaith fell into dispute with his younger brothers, and the descent of the kingship was interrupted. The details of the brothers' disagreements are nowhere recorded, but their result was of historical significance, causing the old North-kingdom of the Dúnedain to be split into three realms. Amlaith's realm was reduced to the lands west of the River Baranduin and the Weather Hills, a region that came to be known as Arthedain. The other lands of Arnor were divided between Amlaith's brothers, creating the new kingdoms of Rhudaur to the east and Cardolan to the south.[1]
Whatever the cause of the dissension between Amlaith and his brothers, the fact of his direct descent from Isildur was never in question. Through Amlaith, the Kings of Arthedain carried the bloodline of Elendil down through the generations. The heirlooms of the House of Isildur; the Ring of Barahir and Sceptre of Annúminas remained in his possession and passed to his descendants. Amlaith broke the traditions of his forefathers and did not take a name in Quenya, the High Tongue of the Elves. He ruled for eighty-five years and was succeeded at his death in TA 946 by his son Beleg.[2]",
17,Years of the Trees,FA 538,Male,Dark red,,Amras,Elf,Estolad,,"Life in Valinor[]
Amras, and his twin Amrod, were born sometime in the Years of the Trees. Nerdanel initially named both twins Ambarussa and, when Fëanor begged that their names should be different, she then provided Umbarto, though not to any twin specifically. Either disturbed by such an ominous name, or because he misheard her, Fëanor changed it to Ambarto and gave it as the mother-name to Telufinwë, the younger twin.[4] He was deeply attached to his twin brother, and thus they were called ""Ambarussa"". They were nearly identical, being alike in both face and mood,[5] but the younger twin, Amrod, had a darker shade of red hair after childhood and was dearer to Fëanor.[4]
Twins were very rare among the Eldar, with Amras and Amrod being the only case recorded in the ancient histories until the later children in the line of Dior.[6] Fëanor and his sons abode seldom in one place for long, but traveled far and wide upon the confines of Valinor, going even to the borders of the Dark and the cold shores of the Outer Sea, seeking the unknown. They were often guests in the halls of Aulë.[5]
During the unrest of the Ñoldor and the strife between Fëanor and his half-brother Fingolfin, Fëanor was banished from Tirion and took up residence in Formenos; he was followed by his father, King Finwë, and his sons.[7] Along with Finwë, the sons of Fëanor did not attend the high feast and were out riding when Formenos was attacked by Melkor and Ungoliant after the pair had killed the Two Trees. They attempted to return, but as they approached they were thrown from their horses. Once the cloud passed, they entered Formenos and found Finwë dead, the house ravaged, and the Silmarils stolen. They then sped to the Ring of Doom where Maedhros informed Manwë and, unknowingly, Fëanor who kept himself hidden during the conversation. Fëanor reacted by cursing both Melkor and the summons of Manwë, and then fleeing into the night; the sons of Fëanor followed him, dismayed that he might slay himself.[8]
Fëanor and his sons soon returned to Tirion where, during a great speech by Fëanor, they took a terrible oath of enmity and vengeance against all or any who dared to claim any right in the Silmarils, and led most of the Ñoldor into exile. As Fëanor was preparing his host for Exile and to return to Middle-earth, Nerdanel approached him and begged that he should leave her youngest twin sons, or at least one of them.[4] Fëanor rejected this, and stated that by deserting him (in not joining the Exile) she was deserting all their children as well.[4] Nerdanel retorted that he would not keep all of them, and at least one would never set foot on Middle-earth.[4]
To obtain the ships needed to pursue Morgoth into Middle-earth, Fëanor's host seized them from the Falmari, killing many when they resisted, and thus came under the Doom of Mandos. After a long march northwards, the Ñoldor drew close to the Helcaraxë, a land bridge deemed impassable, and the narrow strait between Aman and Middle-earth they intended to sail. With too few ships remaining to ferry all the Ñoldor at once, and the fear of treachery between their houses, Fëanor and his sons stole away in them, abandoning the host of Fingolfin.[9]
Return to Middle-earth[]
In the morning after the Burning of the Ships at Losgar, Amras noticed the absence of his twin brother Amrod. He explained that Amrod was restless and did not sleep on the ground out of discomfort. He was the last to speak about this matter to Fëanor.[4]
Fëanor's host traveled north and encamped on the northern shore of Lake Mithrim where they were attacked unaware by a host of Morgoth. In the battle that followed, Fëanor's forces were swiftly victorious, and pursued the routed orcs over the Mountains of Shadow into Ard-galen.[10]
Later, Amras and his brothers rescued their father who died in an ambush after Dagor-nuin-Giliath.[11] After Fëanor's death, he settled the wide plains of East Beleriand between the rivers Celon and Little Gelion where few folk dwelt, and took it as his realm and hunting-ground. He became renown as a great hunter of the woods, though not more than Celegorm.[5] Amras had little direct involvement with the Siege of Angband,[12][13] but he was present at each kinslaying. If his brothers needed aid or shelter, he supported them. Amras died during the attack made by the Sons of Fëanor on the Havens of Sirion in 538.[14]",
18,Years of the Trees,"YT 1497 ,Losgar",Male,Dark red,,Amrod,Elves,,,"Amrod taking The Oath of Fëanor with his brothers, by Jenny Dolfen
Amrod and his younger brother, Amras, were born during the Years of the Trees in Valinor. In the rebellion of the Ñoldor, Amrod and his brothers swore the Oath of Fëanor.[2] Before they left for Middle-earth, Nerdanel Amrod's mother begged Fëanor to leave her two youngest son with him or at least one of them. Fëanor refused her, and Nerdanel prophesied that one of them will not set foot on Middle-earth. In fact, Amrod died during the Burning of the ships at Losgar.[3]
In accordance to The Silmarillion, Amrod and his six brothers rescued their father during the Dagor-nuin-Giliath.[4] He had also held the lands of Estolad with his brother.[5] In FA 538, Amrod and Amras died during the Third Kinslaying at the Havens of Sirion.[6]",
19,,TA 1981,Male,Golden,,Amroth,Elves,Lórien,Nimrodel,"Third Age[]
When Amroth's father, Amdír, was killed in the Battle of Dagorlad in SA 3434, Amroth became King of Lothlórien. He would be the last of the ruling Sindar over Lórien.
Amroth and Nimrodel[]
Amroth's beloved, the elf-maiden Nimrodel, resented that Elves from Beleriand were being admitted into Lothlórien due to Morgoth's aggression against that place. She believed that these foreign Elves brought wars and destroyed the peace that Lothlórien's inhabitants had once enjoyed. When a Balrog was awakened in Moria by the delvings of the Dwarves and they fled north to the Lonely Mountain, many of the Elves living on the west side of Lórien moved inward, and the Galadhrim tightened their guard. Nimrodel, living on the west side of the forest by the stream that afterward bore her name, preferring not to mix with the Galadhrim who she deemed invaders of the golden wood, instead fled to Fangorn Forest in TA 1981 (Third Age). Amroth followed her to the forest, which was much closer to Lothlórien than it later became. Upon attempting to enter the forest, Nimrodel was halted and badly frightened by the movements and murmurings of the Black Huorns who barred her entrance. She lingered on the edge of the forest, unsure of what to do. Amroth found her there a day later.
There, Amroth and Nimrodel spoke long and earnestly with one another, Amroth begging for her favor. Eventually, the Elf-Maiden promised that she would marry Amroth only if he brought her to a peaceful land.
Amroth vowed that he would leave the Elves of Lothlórien, even if a time came when they needed him most. However, none of Middle-earth was at peace and Amroth believed that the Elves would never enjoy peace again. He suggested that he and Nimrodel should travel across the Sundering Seas to the Undying Lands.
Amroth knew that the Sindarin Elves had come to the Bay of Belfalas, a haven south of Lothlórien, long ago. Although the majority of those Elves had left Middle-earth and sailed to the Undying Lands, Amroth was aware that some of their kind still built ships and offered passage to any of the other Elves wishing to leave Middle-earth. After Amroth made the necessary arrangements, he and Nimrodel left Lothlórien.
However, they somehow became separated on their journey. Amroth looked for Nimrodel, but his search was unsuccessful so he continued south towards the Sundering Seas.
Fate[]
At the havens on the Bay of Belfalas, Amroth found that the few remaining Sindarin Elves who remained in Middle-earth were preparing to leave aboard the only seaworthy ship that they had. Although they welcomed Amroth aboard, they were unwilling to wait for Nimrodel. They hoped that she was in Gondor and that she had not attempted to cross the White Mountains, where many unfriendly Men lived.
The summer was almost over and it would soon be autumn, which was expected to bring dangerously strong winds. However, the Elves saw that Amroth was extremely upset. They had removed all their possessions from their houses on the shore, so they waited with Amroth on their ship for many weeks. Summer passed and autumn came, but Nimrodel still did not arrive.
One night, one of the fiercest storms in the recorded history of Gondor came from the Northern Waste, swept through Eriador and caused an enormous amount of destruction to Gondor. Many of the ships that the Men of Gondor had built were swept away from the coast and sank. The wind broke the light Elven-ship from its moorings and hurled the vessel far from the Bay of Belfalas, driving it towards the coasts of Umbar.
At dawn of the following morning, the storm dissipated. However, when Amroth awoke, he saw that the ship was already far from its port. Full of despair, Amroth screamed Nimrodel's name, threw himself into the water below and drowned.
The ship was never seen again in Middle-earth, although it is likely that the vessel left the Circles of the World and eventually reached Tol Eressëa, an island that the Eldar used to enable them to complete the Great Journey.
Neither Elves nor Men ever saw Amroth or Nimrodel again, but there were many legends concerning Nimrodel's fate.
Legacy[]
NImrodel shared her name with a stream where she once lived, that indirectly flowed into the Bay of Belfalas. According to Elven legend, Amroth's voice continued to emanate from the Sea, and Nimrodel's voice often resonated from the stream of Nimrodel.[3][4]",
20,TA 2994,,Male,,,Amrothos,Men,,,"Amrothos was born in TA 2994. He had two older brothers, Elphir, Erchirion, and a younger sister, Lothíriel, who would later marry Éomer and become Queen of Rohan.[2]
He was a grown man during the War of the Ring, but his service in it is unknown.",
21,YT,,Female,,,Anairë,Elves,,Fingolfin,"Little is known of Anairë's life; she chose not to follow her husband to Middle-earth during their departure from Aman. It is assumed that she continued to reside in Aman along with the other Elves of Valinor. During the Noontide of Valinor, they had four children: Fingon, Turgon, Aredhel, and Argon.
Anairë was known to be friends with Eärwen, Finarfin's wife.[1]
Anairë awaiting her husband in Aman, by Marya Filatova",
22,TA 136,TA 411,Male,,,Anardil,Men,Gondor,Unnamed wife,"Anardil was born in TA 136.[1] He ascended to the throne after the death of his father Eärendil in TA 324. No notable events were recorded for his reign, suggesting it was a peaceful one. Anardil died in TA 411 aged 275 after a rule of eighty-seven years and was succeeded by his son Ostoher.[2]",
23,"Late ,Third Age",,Male,Dark,,Anborn,Men,,,"On March 7, 3019, Anborn reported to his captain, Faramir, that he had seen a strange creature scurry up a tree and hiss at him. Anborn theorized that it might have been a large squirrel of Mirkwood, though he then thought that unlikely, as the creature he saw was black and had no tail. However, under law of Gondor that no animal of Ithilien should be harmed for any reason, Anborn left the creature alone.[1] Anborn later spotted Gollum in the Forbidden Pool and reported it to Faramir at once.[2]",
24,FA 361,FA 455,Female,Dark brown,,Andreth,Men,,"Loved ,Aegnor, but they never married","Andreth first meets Aegnor, by Szilvia Szarvas
Andreth was born in Ladros in Dorthonion. She was wise in thought and learned in the lore of Men and thus was called Saelind (Wise-heart) by the Elves of her time. In her earlier life she lived in the house of Belemir in Ladros, where she had learned the lore of the House of Marach from Adanel.
Andreth was deeply in love with Aegnor, son of Finarfin. The love was returned but never fulfilled, since Aegnor departed from motives of wisdom as he felt his coming death, thus they never married and had no children. She had a close friendship with Aegnor's brother Finrod Felagund, who often visited her during the Siege of Angband to converse and debate with her on the matters of Elves and Men. One such conversation was written down and later known as Athrabeth Finrod ah Andreth, where she and Finrod discussed differences between Elves and Men.
Andreth with her love Aegnor by the shore of Lake Aeluin, by Szilvia Szarvas
She probably died when Morgoth broke the Siege of Angband in the Dagor Bragollach in FA 455 of causes unknown.[3] She was the only known person of Mankind to have had a romantic relationship with someone of Elvenkind before Beren.",
25,FA 440,FA 489,Male,,,Andróg,Men,,Unnamed wife,"Andróg was descended from the Folk of Hador and originally lived in the land of Dor-lómin. However, after slaying a woman, he was hunted and fled southward. Being an archer, he then joined Gaurwaith, a band of outlaws that hunted the forests south of the River Taeglin, and was remembered as ""the grimmest among them"".
When Túrin first appeared among the outlaws and slew one of their men, Andróg quickly perceived both Túrin's superiority and the Curse of Morgoth that followed him. Despite this, he esteemed Túrin and became one of his closest followers. Later, Túrin spared Andróg despite his participation in Forweg's attempt to trap Larnach's daughter, and Andróg supported him in becoming the leader of the band. After Beleg was captured by the outlaws, Andróg urged them to kill him, coveting Beleg's bow, Belthronding, and showed no favor to the Elf even after his release by Túrin.
Andróg was foremost in the attempt to capture the Petty-dwarves, seizing Mîm and shooting arrows at his sons. Once again, he wished to slay Mîm immediately, despising all Dwarves, and doubted his gift of Amon Rûdh. Andróg was cursed by Mîm when it became known that his arrow slew Khîm:

""He that loosed the shaft shall break his bow and his arrows and lay them at my son's feet; and he shall never take arrow nor bear bow again. If he does, he shall die by it.""
—Mîm
Andróg obeyed, fearing the Dwarf's curse, but prophesied in reply that Mîm would ""lack a bow at need ere his end"". Some time afterward, Andróg took up his bow and arrows again and was wounded by a poisoned shaft. He was healed by Beleg at Túrin's bidding but continued to mistrust the Elf. Mîm's curse, however, was not put to rest. In fact, this act made Mîm even angrier, as all Petty-dwarves hated Elves with a passion.
During the Sack of Amon Rûdh, Andróg led some of the band to the top of the hill by a secret stair he had discovered some time before. There, he fought more valiantly than any but fell mortally wounded by an arrow. His son, Andvír, however, survived the battle.[1]
This page uses content from Wikipedia. The original article was at Andróg. The list of authors can be seen in the page history. As with The One Wiki to Rule Them All, the text of Wikipedia is available under the Commons Attribution-Share Alike license.
Gaurwaith

 


Beleg • Algund • Andróg • Andvír • Forweg • Orleg • Túrin • Ulrad",
26,"Mid-,Third Age",,Male,,,Angamaitë,Men,,,"Angamaitë was a descendant of the rebel Castamir and carried on the traditional hatred against Gondor. In TA 1634, King Minardil was at Pelargir without fear of any attack. Angamaitë and Sangahyando soon learned about this through spies and sacked the city, killing Minardil and seizing great amounts of treasure.[1]",
27,"Late ,Third Age",,Male,,,Angbor,Men,,,"Angbor the Fearless in The Lord of the Rings: The Card Game, The City of Ulfast Adventure Pack
During the last months of the War of the Ring, Angbor's men were defending Linhir against the Corsairs of Umbar when the Grey Company led by Aragorn arrived. Such was the fear inspired by the Army of the Dead that Angbor was the only man who had courage enough to meet with Aragorn, who instructed him to gather his men and ride to the aid of Minas Tirith. It was later mentioned that he and four thousand men arrived at Minas Tirith around the time Aragorn and the Army of the West left for the Black Gate. It was Aragorn who named Angbor ""the Fearless"".[1]",
28,TA 2866,TA 2977,Male,,,Angelimir,Men,,Unnamed wife,Angelimir was the son of Aglahad. Little to nothing is known of his life or reign. He married and had a son named Adrahil who succeeded him.[1],
29,YT,FA 455,Male,Golden,,Angrod,Elves,,Eldalótë,"Angrod was the elder brother of Galadriel and Aegnor, and younger brother of Finrod Felagund. In FA 6, he was received in Doriath by King Thingol, requesting Thingol's permission to establish realms in Beleriand outside the king's realm.
Angrod, by Marya Filatova
Along with his brothers and sister, they were the few princes of the West permitted to enter Doriath through their mother Eärwen of Alqualondë.
With Aegnor, he held the northern slopes of the highlands of Dorthonion against Morgoth. Angrod and Aegnor were both killed in the Dagor Bragollach.
Angrod in Dorthonion, by Marya Filatova
He married a Ñoldorin lady named Eðellos. His son was Orodreth.[1]",
30,,,Male,,,Annael,Elves,,,"Annael was born in Beleriand, probably during the Years of the Trees.[citation needed] He was the leader of a small band of Grey-elves living in the Mountains of Mithrim, having the Swan-wing[2] as his heraldic token.[1]
He fought in the First Battle of Beleriand, one of the first wars of the First Age. After the Noldor's return to Middle-earth, he fought under Fingolfin and Fingon at Dagor Aglareb, the Siege of Angband, the Battle of the Firth of Drengist, Dagor Bragollach, and the Second Assault on Hithlum.[citation needed]
After the Union of Maedhros was formed in the year 468,[3] Annael led a small force of the Grey-elves of Mithrim to take part in the Nírnaeth Arnoediad in the year 472[4]. Annael was the only survivor of from that company who returned to Mithrim. While Rían was hosted by the Grey-elves at Lake Mithrim during the birth of her son Tuor, she asked them to foster him, as she wished to leave and search of her husband Huor. Annael explained to her how Huor had died, and she left the dwelling and went northwards to die on the Haudh-en-Ndengin. Thus, Annael became the foster-father of Tuor during his early years.[1]
As the years passed, in order to seek refuge from the Easterlings and the Orcs, Annael led his small group of people to Androth. In the year 488, when Tuor was sixteen, Annael had to prevent him from going to fight against the enemies of the House of Hador, foreseeing that Morgoth's power would not be defeated until Thangorodrim was overthrown, and that they had to escape south through the Annon-in-Gelydh, which was built long before by King Turgon's people. Tuor was much intrigued by the name of Turgon and wished to meet him, but Annael told him how well hidden Turgon's realm was. Despite having parted in secret from Androth, Annael's people were located and ambushed by a large force of Orcs and Easterlings under their chief Lorgan. The Elves were all scattered, and Tuor was captured and taken as a slave. However, Annael and many of his folk survived the attack and escaped Dor-lómin. Annael and his people eventually joined Círdan at the Havens of Sirion in the distant south of Beleriand.[1]
While it is untold what Annael's fate was, it is likely that, if he survived the Third Kinslaying and the War of Wrath, he either heeded Eönwë's call and sailed to the Undying Lands, or he remained with Círdan in Lindon.[5] If he remained in Middle-earth, then he may have fought in the Siege of Eregion, the Siege of Lindon, the First Siege of Imladris, the Battle of the Gwathló, the War of the Last Alliance, the Weather Hills skirmishes, the Fall of Fornost, and the Battle of Fornost. During the War of the Ring, he went to Lothlórien to aid and he fought in the First Battle of Lórien, the Second Battle of Lórien, the Third Battle of Lórien, and the Destruction of Dol Guldur. After the defeat of Sauron, he sailed to Valinor in the Fourth Age.[citation needed]",
